Method,NDE,NIE,TE,NDE_CI,NIE_CI
Linear Model,0.0323,1.00E-04,0.0324,"[-0.001, 0.068]","[-0.0027, 0.0027]"
IPW,-0.0103,2.00E-04,-0.01,"[-0.0477, 0.0287]","[-0.0028, 0.003]"
